"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Darren Waller",LV,"vs. DEN","3 out of 5 stars","A+","13.3"
"2","T.J. Hockenson",DET,"vs. WAS","4 out of 5 stars","A","11.7"
"3","Noah Fant",DEN,"at LV","3 out of 5 stars","A-","10.5"
"4","Dallas Goedert",PHI,"at NYG","2 out of 5 stars","B+","10.0"
"5","Evan Engram",NYG,"vs. PHI","5 out of 5 stars","B","9.8"
"6","Mark Andrews",BAL,"at NE","1 out of 5 stars","B","9.4"
"7","Rob Gronkowski",TB,"at CAR","2 out of 5 stars","B","9.4"
"8","Hunter Henry",LAC,"at MIA","3 out of 5 stars","B-","8.9"
"9","Eric Ebron",PIT,"vs. CIN","4 out of 5 stars","C+","8.8"
"10","Austin Hooper",CLE,"vs. HOU","4 out of 5 stars","C+","8.7"
"11","Jared Cook",NO,"vs. SF","1 out of 5 stars","C+","8.3"
"12","Jonnu Smith",TEN,"vs. IND","1 out of 5 stars","C","7.9"
"13","Robert Tonyan",GB,"vs. JAC","5 out of 5 stars","C","7.9"
"14","Mike Gesicki",MIA,"vs. LAC","4 out of 5 stars","C-","7.6"
"15","Jimmy Graham",CHI,"vs. MIN","4 out of 5 stars","C-","7.6"
"16","Trey Burton",IND,"at TEN","5 out of 5 stars","D+","7.5"
"17","Logan Thomas",WAS,"at DET","3 out of 5 stars","D+","7.5"
"18","Jordan Reed",SF,"at NO","3 out of 5 stars","D","7.3"
"19","Gerald Everett",LAR,"vs. SEA","2 out of 5 stars","D","7.1"
"20","Tyler Higbee",LAR,"vs. SEA","2 out of 5 stars","D-","6.3"
"21","Jordan Akins",HOU,"at CLE","3 out of 5 stars","D-","6.3"
"22","Irv Smith Jr.",MIN,"at CHI","4 out of 5 stars","F","6.2"
"23","Ross Dwelley",SF,"at NO","3 out of 5 stars","F","6.1"
"24","Darren Fells",HOU,"at CLE","3 out of 5 stars","F","5.3"
"25","Mo Alie-Cox",IND,"at TEN","5 out of 5 stars","F","5.1"
"26","Greg Olsen",SEA,"at LAR","4 out of 5 stars","F","5.0"
"27","Tyler Eifert",JAC,"at GB","1 out of 5 stars","F","5.0"
"28","Jacob Hollister",SEA,"at LAR","4 out of 5 stars","F","5.0"
"29","Harrison Bryant",CLE,"vs. HOU","4 out of 5 stars","F","5.0"
"30","Drew Sample",CIN,"at PIT","1 out of 5 stars","F","4.6"
"31","Ian Thomas",CAR,"vs. TB","3 out of 5 stars","F","4.5"
"32","Kyle Rudolph",MIN,"at CHI","4 out of 5 stars","F","4.3"
"33","Anthony Firkser",TEN,"vs. IND","1 out of 5 stars","F","4.3"
"34","David Njoku",CLE,"vs. HOU","4 out of 5 stars","F","4.0"
"35","James O'Shaughnessy",JAC,"at GB","1 out of 5 stars","F","4.0"
"36","Will Dissly",SEA,"at LAR","4 out of 5 stars","F","3.7"
"37","Nick Boyle",BAL,"at NE","1 out of 5 stars","F","3.7"
"38","Dawson Knox",BUF,"at ARI","4 out of 5 stars","F","3.5"
"39","Dan Arnold",ARI,"vs. BUF","5 out of 5 stars","F","3.4"
"40","Tyler Kroft",BUF,"at ARI","4 out of 5 stars","F","3.1"
"41","Richard Rodgers",PHI,"at NYG","2 out of 5 stars","F","3.1"
"42","Jace Sternberger",GB,"vs. JAC","5 out of 5 stars","F","3.1"
"43","Cole Kmet",CHI,"vs. MIN","4 out of 5 stars","F","3.0"
"44","Cameron Brate",TB,"at CAR","2 out of 5 stars","F","2.9"
"45","Jason Witten",LV,"vs. DEN","3 out of 5 stars","F","2.9"
"46","Jesse James",DET,"vs. WAS","4 out of 5 stars","F","2.8"
"47","Kaden Smith",NYG,"vs. PHI","5 out of 5 stars","F","2.8"
"48","Durham Smythe",MIA,"vs. LAC","4 out of 5 stars","F","2.8"
"49","Adam Shaheen",MIA,"vs. LAC","4 out of 5 stars","F","2.8"
"50","Adam Trautman",NO,"vs. SF","1 out of 5 stars","F","2.7"
"51","Darrell Daniels",ARI,"vs. BUF","5 out of 5 stars","F","2.6"
"52","Ryan Izzo",NE,"vs. BAL","3 out of 5 stars","F","2.4"
"53","Nick Vannett",DEN,"at LV","3 out of 5 stars","F","2.4"
"54","Foster Moreau",LV,"vs. DEN","3 out of 5 stars","F","2.4"
"55","Donald Parham Jr.",LAC,"at MIA","3 out of 5 stars","F","2.4"
"56","Marcedes Lewis",GB,"vs. JAC","5 out of 5 stars","F","2.4"
"57","Maxx Williams",ARI,"vs. BUF","5 out of 5 stars","F","2.3"
"58","Josh Hill",NO,"vs. SF","1 out of 5 stars","F","2.3"
"59","Chris Manhertz",CAR,"vs. TB","3 out of 5 stars","F","2.3"
"60","Demetrius Harris",CHI,"vs. MIN","4 out of 5 stars","F","2.2"
"61","Cethan Carter",CIN,"at PIT","1 out of 5 stars","F","2.2"
"62","Gabe Nabers",LAC,"at MIA","3 out of 5 stars","F","2.1"
"63","Zach Gentry",PIT,"vs. CIN","4 out of 5 stars","F","2.1"
"64","Jeremy Sprinkle",WAS,"at DET","3 out of 5 stars","F","2.0"
"65","Tyler Conklin",MIN,"at CHI","4 out of 5 stars","F","1.8"
"66","Johnny Mundt",LAR,"vs. SEA","2 out of 5 stars","F","1.7"
"67","Tanner Hudson",TB,"at CAR","2 out of 5 stars","F","1.7"
"68","Geoff Swaim",TEN,"vs. IND","1 out of 5 stars","F","1.7"
"69","Levine Toilolo",NYG,"vs. PHI","5 out of 5 stars","F","1.7"
"70","Vance McDonald",PIT,"vs. CIN","4 out of 5 stars","F","1.7"
"71","Noah Togiai",IND,"at TEN","5 out of 5 stars","F","1.7"
"72","Temarrick Hemingway",WAS,"at DET","3 out of 5 stars","F","1.7"
"73","Lee Smith",BUF,"at ARI","4 out of 5 stars","F","1.6"
"74","Pharaoh Brown",HOU,"at CLE","3 out of 5 stars","F","1.6"
"75","Ben Ellefson",JAC,"at GB","1 out of 5 stars","F","1.6"
"76","J.P. Holtz",CHI,"vs. MIN","4 out of 5 stars","F","1.6"
"77","Derek Carrier",LV,"vs. DEN","3 out of 5 stars","F","1.5"
"78","Charlie Woerner",SF,"at NO","3 out of 5 stars","F","1.3"
"79","Isaac Nauta",DET,"vs. WAS","4 out of 5 stars","F","1.3"
"80","Mason Schreck",CIN,"at PIT","1 out of 5 stars","F","1.1"
"81","Stephen Anderson",LAC,"at MIA","3 out of 5 stars","F","1.1"
"82","Colin Thompson",CAR,"vs. TB","3 out of 5 stars","F","1.0"
"83","Antony Auclair",TB,"at CAR","2 out of 5 stars","F","1.0"
"84","Jordan Thomas",NE,"vs. BAL","3 out of 5 stars","F","0.9"
"85","Eric Saubert",JAC,"at GB","1 out of 5 stars","F","0.9"
"86","Tyler Davis",JAC,"at GB","1 out of 5 stars","F","0.8"
"87","Marcus Baugh",WAS,"at DET","3 out of 5 stars","F","0.8"