"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Buffalo Bills",BUF,"at NYJ","3 out of 5 stars","A+","8.1"
"2","Los Angeles Rams",LAR,"vs. CHI","3 out of 5 stars","A","7.6"
"3","Kansas City Chiefs",KC,"at DEN","5 out of 5 stars","A","7.6"
"4","Philadelphia Eagles",PHI,"vs. NYG","4 out of 5 stars","A-","7.6"
"5","New England Patriots",NE,"vs. SF","4 out of 5 stars","B+","7.4"
"6","Los Angeles Chargers",LAC,"vs. JAC","4 out of 5 stars","B","7.3"
"7","Tampa Bay Buccaneers",TB,"at LV","2 out of 5 stars","B","7.3"
"8","New York Giants",NYG,"at PHI","3 out of 5 stars","B","7.2"
"9","Washington Football Team",WAS,"vs. DAL","3 out of 5 stars","B-","7.0"
"10","Chicago Bears",CHI,"at LAR","2 out of 5 stars","B","6.9"
"11","Pittsburgh Steelers",PIT,"at TEN","1 out of 5 stars","B","6.7"
"12","Cleveland Browns",CLE,"at CIN","3 out of 5 stars","B-","6.7"
"13","San Francisco 49ers",SF,"at NE","5 out of 5 stars","C+","6.6"
"14","New Orleans Saints",NO,"vs. CAR","3 out of 5 stars","C-","6.5"
"15","Cincinnati Bengals",CIN,"vs. CLE","1 out of 5 stars","C","6.3"
"16","Dallas Cowboys",DAL,"at WAS","4 out of 5 stars","C","6.3"
"17","Green Bay Packers",GB,"at HOU","1 out of 5 stars","C-","6.3"
"18","Seattle Seahawks",SEA,"at ARI","3 out of 5 stars","D+","6.2"
"19","Tennessee Titans",TEN,"vs. PIT","1 out of 5 stars","D+","6.0"
"20","Arizona Cardinals",ARI,"vs. SEA","3 out of 5 stars","D","5.7"
"21","New York Jets",NYJ,"vs. BUF","1 out of 5 stars","D","5.7"
"22","Detroit Lions",DET,"at ATL","1 out of 5 stars","D-","5.6"
"23","Las Vegas Raiders",LV,"vs. TB","5 out of 5 stars","F","5.5"
"24","Atlanta Falcons",ATL,"vs. DET","2 out of 5 stars","F","5.1"
"25","Jacksonville Jaguars",JAC,"at LAC","2 out of 5 stars","F","4.7"
"26","Carolina Panthers",CAR,"at NO","1 out of 5 stars","F","4.6"
"27","Denver Broncos",DEN,"vs. KC","1 out of 5 stars","F","4.6"
"28","Houston Texans",HOU,"vs. GB","1 out of 5 stars","F","4.3"